api_name,english_name,english_description,target_name,target_description,translation_notes
HIGHEST_ZONE_10,Zone Explorer,Beat Zone 10,区域探索者,通关第 10 区。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_20,Zone Warrior,Beat Zone 25,区域战士,通关第 25 区。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_50,Zone Master,Beat Zone 50,区域大师,通关第 50 区。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_100,Zone Lord,Beat Zone 100,区域领主,通关第 100 区。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_120,Zone King,Beat Zone 120,区域之王,通关第 120 区。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_140,Zone God,Beat Zone 140,区域之神,通关第 140 区。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_160,Zone Owner,Beat Zone 160,区域主宰,通关第 160 区。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_OMEET,Bounty: Omeet,Defeat Omeet,悬赏：Omeet,击败 Omeet。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_200,Bounty: The Green One,Defeat the Green One,悬赏：绿色家伙,击败 绿色家伙。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_300,"Bounty: Woodchip, the Rodent","Defeat Woodchip, the Rodent",悬赏：啮齿动物 Woodchip,击败 啮齿动物 Woodchip。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_400,Bounty: Queen of Bloops,Defeat the Queen of Bloops,悬赏：Bloops 女王,击败 Bloops 女王。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_500,"Bounty: Doppler, the Robot","Defeat Doppler, the Robot",悬赏：机器人 Doppler,击败 机器人 Doppler。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_600,"Bounty: Rashon, the Duke","Defeat Rashon, the Duke",悬赏：公爵 Rashon,击败 公爵 Rashon。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_700,Bounty: The Dark Wizard,Defeat the Dark Wizard,悬赏：黑暗巫师,击败 黑暗巫师。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_800,"Bounty: Tako, Head of Octopi","Defeat Tako, Head of Octopi",悬赏：章鱼头领 Tako,击败 章鱼头领 Tako。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_900,Bounty: Tako Returns,"Defeat Tako, again",悬赏：Tako 归来,击败 Tako。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_1000,Bounty: Lagomorph of Caerbannog,Defeat Lagomorph of Caerbannog,悬赏：Caerbannog 的兔形怪,击败 Caerbannog 的兔形怪。,Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_1200,Zone Pwn,"Beat Zone 1,200",区域碾压,"通关第 1,200 区。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
HIGHEST_ZONE_1400,Zoner,"Beat Zone 1,400",区域达人,"通关第 1,400 区。",Clicker Heroes 术语：Zone 译为“区”，Ascend 译为“转生”，Transcend 译为“超越”。
