api_name,english_name,english_description,japanese_name,japanese_description,target_name,target_description,translation_notes
ACH_ALL_UNLOCK,CHAOS;HEAD NOAH,Acquired all achievements.,CHOAS;HEAD NOAH,すべての実績を獲得した,CHAOS;HEAD NOAH,获得全部成就。,游戏标题按 Steam 官方标题保留。
ACH_PROLOGUE,Prologue,Finished the prologue.,プロローグ,プロローグをクリアした,序章,完成序章。,
ACH_END_CH01,Chapter 1: Eyes in eyes,Finished Chapter 1.,第一章【Eyes in eyes】,第一章をクリアした,第一章：Eyes in eyes,完成第一章。,
ACH_END_CH02,Chapter 2: Click me,Finished Chapter 2.,第二章【Click me】,第二章をクリアした,第二章：Click me,完成第二章。,
ACH_END_CH03,Chapter 3: Shogun,Finished Chapter 3.,第三章【将軍】,第三章をクリアした,第三章：将军,完成第三章。,
ACH_END_CH04,Chapter 4: Di-Sword,Finished Chapter 4.,第四章【Di-Sword】,第四章をクリアした,第四章：Di-Sword,完成第四章；专有名词保留原文。,
ACH_END_CH05,Chapter 5: Delusions,Finished Chapter 5.,第五章【妄想】,第五章をクリアした,第五章：妄想,完成第五章。,
ACH_END_CH06,Chapter 6: Noah,Finished Chapter 6.,第六章【Noah】,第六章をクリアした,第六章：Noah,完成第六章；专有名词保留原文。,
ACH_END_CH07,Chapter 7: psychopath,Finished Chapter 7., 第七章【psychopath】,第七章をクリアした,第七章：精神病态者,完成第七章。,
ACH_END_CH08,Chapter 8: Ir2,Finished Chapter 8.,第八章【Ir2】,第八章をクリアした,第八章：Ir2,完成第八章；专有名词保留原文。,
ACH_END_CH09,Chapter 9: giga-lo-maniac,Finished Chapter 9.,第九章【giga-lo-maniac】,第九章をクリアした,第九章：giga-lo-maniac,完成第九章；系列术语保留原文。,
ACH_ROUTE_REM,Snap!,Discovered Rimi's Story.,ビシィ！,梨深編を発見した,啪！,发现梨深篇。,
ACH_ROUTE_NAN,"Brother, You Jerk!",Discovered Nanami's story.,おにぃのバカ！,七海編を発見した,哥哥，你这个笨蛋！,发现七海篇。,
ACH_ROUTE_AYA,Pound in the Stake!,Discovered Ayase's story.,杭を打て,あやせ編を発見した,把桩子钉下去！,发现绫濑篇。,
ACH_ROUTE_SEN,Soda-Flavored Garugari-kun,Discovered Sena's story.,ガルガリ君ソーダ味,セナ編を発見した,苏打味嘎哩嘎哩君,发现世莉架篇；商品名采用音译。,
ACH_ROUTE_KOZ,Ker-Bam-Schwing!！,Discovered Kozue's story.,ドカバキグシャーッ,梢編を発見した,砰啪咔嚓！,发现梢篇。,
ACH_ROUTE_YUA,"YOU RECOGNIZE IT, RIGHT?",Discovered Yua's story.,知・っ・て・る・よ・ね？,優愛編を発見した,你认得出来，对吧？,发现优爱篇。,
ACH_END_REM,Anima Archetype,Reached Rimi's ending.,【アニマの像】,梨深とのエンディングに到達した,阿尼玛原型,到达梨深的结局。,
ACH_END_NAN,daydream,Reached Nanami's ending.,【daydream】,七海とのエンディングに到達した,白日梦,到达七海的结局。,
ACH_END_AYA,A Bloody Contract for Your Sins,Reached Ayase's ending.,【罪過に契約の血を】,あやせとのエンディングに到達した,为你的罪孽染血的契约,到达绫濑的结局。,
ACH_END_SEN,Deus Ex Machina,Reached Sena's ending.,【デウス・エクス・マキナ】,セナとのエンディングに到達した,机械降神,到达世莉架的结局。,
ACH_END_KOZ,A Disease that Leads to Slaughter,Reached Kozue's ending.,【殺戮に至る病】,梢とのエンディングに到達した,通往杀戮的疾病,到达梢的结局。,
ACH_END_YUA,Moon and Sun,Reached Yua's ending.,【月と太陽】,優愛とのエンディングに到達した,月与太阳,到达优爱的结局。,
ACH_END_A,silent sky,Reached Ending A.,【silent sky】,エンディングAに到達した,寂静之空,到达结局 A。,
ACH_END_B,crying sky,Reached Ending B.,【crying sky】,エンディングBに到達した,哭泣之空,到达结局 B。,
ACH_END_CH,blue sky,Reached the final ending.,【blue sky】,最後のエンディングに到達した,蓝色天空,到达最终结局。,
ACH_END_ALL,Ending Complete,Reached All ending.,エンディングコンプリート,全てのエンディングに到達した,完成所有结局,到达全部结局。,
ACH_CG_OPEN,CG Complete,Found all event CGs.,CGコンプリート,全てのイベント絵を見た,CG收集完成,找到全部事件 CG。,
ACH_Whose_eyes,Whose Eyes Are Those?,"Found all the ""Whose Eyes Are Those?""",その目だれの目？,「その目だれの目？」を全て見た,那是谁的眼睛？,找到全部“那是谁的眼睛？”。,
ACH_TR_POSI,Positive Person,Found all positive delusions.,ポジティブ人間,全てのポジティブ妄想を見た,正面妄想者,找到全部正面妄想。,
ACH_TR_NEGA,Negative Person,Found all negative delusions.,ネガティブ人間,全てのネガティブ妄想を見た,负面妄想者,找到全部负面妄想。,
ACH_SYNC_100,Gigalomaniac,Delusion Synchro Rate 100%,誇大妄想家,妄想シンクロ率100%,妄想狂,妄想同步率达到 100%。,
ACH_SYNC_000,Ria-ju,Delusion Synchro Rate 0%,リア充,妄想シンクロ率0%,现充,妄想同步率达到 0%。,
ACH_GLA,Four-Eyes Fan,Made Hazuki wear glasses., メガネスキー,葉月にメガネを掛けさせた,眼镜控,让叶月戴上眼镜。,
