api_name,english_name,english_description,french_name,french_description,german_name,german_description,italian_name,italian_description,japanese_name,japanese_description,polish_name,polish_description,russian_name,russian_description,spanish_name,spanish_description,target_name,target_description,translation_notes
ACHIEVEMENT_HEADSHOT_DIST,Front and Center,Get a scoped headshot over 150m,Avant et centre,Réaliser un tir à la tête à plus de 150 m,Front und Zentrum,Schaffe einen Schuss mit Zielfernrohr von über 150 m.,Avanti e al centro,Spara un colpo alla testa da oltre 150m,ロングレンジショット,150m以上離れた場所からスコープを使ったヘッドショットを成功させる,Prosto w cel,"Traf z karabinu snajperskiego w głowę przeciwnika, znajdującego się w odległości 150 m",Лучшие места,Сделайте прицельный выстрел в голову со 150 м.,El frente y el centro,Consiga un tiro a la cabeza desde más de 150 m.,正中眉心,用瞄准镜在 150 米外爆头。,
ACHIEVEMENT_TRIPMINE,Mousetrap Fuse,Use a trip mine to kill an enemy who is trying to assault your position,Détonateur à ressort,Abattre un ennemi essayant d'assaillir votre position à l'aide d'une mine antipersonnel,Explosive Falle,"Töte einen Feind, der deine Stellung anzugreifen versucht, mit einer Stolpermine.",Detonatore a trappola,Usa una mina ad inciampo per uccidere un nemico che cerca di assaltare la tua posizione,ネズミ捕り,向かってくる敵をトリップマインで倒す,Wybuchowa pułapka,Użyj miny przeciwpiechotnej do zabicia nieprzyjaciela nacierającego na twoją pozycję,Запал для мышеловки,"Используйте растяжку, чтобы убить противника, пытающегося взять штурмом вашу позицию.",Trampa para ratones,Utilice una mina de tracción para matar al enemigo que intenta asaltar su posición.,捕鼠夹导火索,用绊雷杀死一名试图攻占你阵地的敌人。,
ACHIEVEMENT_MASKED,Ear Plugs,Kill an enemy while your rifle fire is masked by a loud sound,Bouchons d'oreille,Tuer un ennemi au fusil à lunette alors qu'un bruit assourdissant masque les tirs de votre fusil,Ohrenstöpsel,"Töte einen Feind, während dein Gewehrfeuer von einem lauten Geräusch überdeckt wird.",Tappi per orecchie,Uccidi un nemico mentre il rumore del tuo fucile è nascosto da un altro rumore più forte,騒音に乗じて,大きな音に紛れながら、ライフルで敵を狙撃する,Zatyczki do uszu,"Zabij nieprzyjaciela, kiedy huk strzału zostanie zamaskowany przez inny głośny dźwięk",Затычки в ушах,"Убейте врага так, чтобы звук вашего прицельного выстрела был заглушен другим громким звуком.",Tapones,Mate a un enemigo con el rifle de francotirador mientras el sonido del disparo queda disimulado.,隔音耳塞,在枪声被巨大噪音掩盖时杀死一名敌人。,
ACHIEVEMENT_SNIPE_KILL_TANK,Fuel Tank,Destroy a tank by sniping the fuel supply,Réservoir de carburant,Détruire un char en tirant sur sa réserve de carburant à l'aide d'un fusil à lunette,Treibstofftank,"Zerstöre einen Panzer, indem du auf den Benzinvorrat schießt.",Serbatoio,Distruggi un carro armato sparando al serbatoio,燃料タンク,燃料タンクを狙撃して戦車を破壊する,Zbiornik paliwa,"Zniszcz czołg, trafiając w zbiornik paliwa",Топливная цистерна,"Уничтожьте танк, выстрелив из винтовки в заправку.",Tanque de combustible,Dispare al depósito de combustible para destruir el tanque.,燃料箱,狙击燃料供应处摧毁一辆坦克。,
ACHIEVEMENT_STEALTH_KILLS,Silent but Deadly,Covertly kill 25 unaware enemies,Silencieux mais mortel,Tuer 25 ennemis furtivement et par surprise,Leise aber tödlich,Töte heimlich 25 Feinde.,Silenzioso ma letale,Uccidi 25 nemici ignari furtivamente,サイレントキラー,警戒していない兵士を25人倒す,Cicho i skutecznie,Zabij 25 niczego nie podejrzewających wrogów,Бесшумная смерть,Скрытно убейте 25 ничего неподозревающих врагов.,Matarlas callando,Mate a 25 enemigos sin que se den cuenta mientras esté encubierto.,无声致命,暗杀 25 名毫无戒备的敌人。,
ACHIEVEMENT_EYE_SHOT,Deadeye,Snipe an enemy through his eye,Oeil acéré,Atteindre un ennemi à l'œil à l'aide d'un fusil à lunette,Totes Auge,Schieße einen Feind durch sein Auge.,Occhio mortale,Spara a un nemico nell'occhio con l'aiuto del mirino,デッドアイ,狙撃で敵の目を撃ち抜く,Oczko,"Traf przeciwnika w oko, strzelając z karabinu snajperskiego",Меткий стрелок,"Подстрелите врага, попав ему в глаз.",Buena puntería,Acabe con un enemigo disparándole en el ojo con el rifle de francotirador.,神射手,狙击穿过敌人的眼睛。,
ACHIEVEMENT_MARATHON_BULLET,Go the Distance,Get a cumulative sniped kill distance of a marathon,Marathonien,Abattre des cibles pour obtenir une distance de tir cumulée équivalente à un marathon,Auf Distanz,Erreiche in der Summe eine Scharfschützen-Kill-Distanz von der Länge eines Marathons.,A dovuta distanza,Ottieni una serie di uccisioni a distanza equivalenti a una maratona,狙撃マラソン,累計狙撃距離がマラソンの距離に到達する,Odległość ma znaczenie,Strzel z karabinu snajperskiego na łączną długość maratonu,Отход на расстояние,Сумма расстояний всех ваших выстрелов должна превысить длину марафонской дистанции.,Vaya hasta allí,Mate enemigos hasta obtener una distancia acumulada equivalente a un maratón.,狙击马拉松,累计狙击击杀距离达到一场马拉松的长度。,
ACHIEVEMENT_BREATH_HOLD,Iron Lung,Hold your breath for a cumulative time of half an hour,Apnéiste d'exception,Retenir son souffle sur une durée cumulée d'une demi-heure,Eiserne Lunge,Halte deinen Atem insgesamt für eine halbe Stunde an.,Polmoni di ferro,Trattieni il respiro per una durata cumulativa di mezz'ora,フォーカスマスター,息を止めてフォーカスした時間の合計が30分に到達する,Żelazne płuco,Wstrzymaj odech w sumie na pół godziny,Железные легкие,Проведите в игре в сумме полчаса с задержанным дыханием.,Pulmones de hierro,Aguante la respiración durante media hora acumulada.,钢铁肺,累计憋气半小时。,
ACHIEVEMENT_EXPLODE_KILLS,Potato Masher,Kill 100 enemies with explosives,Pilon,Tuer 100 ennemis avec des explosifs,Kartoffel-Stampfer,Töte 100 Feinde mit Sprengstoffen.,Distruttore,Uccidi 100 nemici con gli esplosivi,ボム・キラー,アイテムによる爆破で敵を100人倒す,Sieczkarnia,Zabij 100 przeciwników za pomocą ładunków wybuchowych,Пюредавилка,Убейте 100 врагов с помощью взрывчатки.,El pasapurés,Acabe con 100 enemigos con explosivos.,土豆捣碎机,用爆炸物杀死 100 名敌人。,
ACHIEVEMENT_SNIPER_KILLS,World Record,Get 506 cumulative sniper kills,Record mondial,Tuer 506 cibles cumulées au fusil à lunette,Weltrekord,Erhalte insgesamt 506 Scharfschützen-Kills.,Record del mondo,Ottieni 506 uccisioni cumulative da cecchino,世界記録,狙撃による累計キル数が506に到達する,Rekord świata,Zabij 506 przeciwników za pomocą karabinu snajperskiego,Мировой рекорд,Убейте 506 врагов из снайперской винтовки.,Récord mundial,Consiga abatir a 506 enemigos en total.,世界纪录,累计用狙击枪杀死 506 名敌人。,
ACHIEVEMENT_MOVING_KILLS,Gung Ho,Snipe 100 moving targets,Gâchette facile,Toucher 100 cibles mouvantes au fusil à lunette,Glühender Eifer,Triff 100 bewegliche Ziele.,Gung Ho,Uccidi 100 obiettivi in movimento,アグレッシブ・マン,動いている標的を100回狙撃で仕留める,Niezła jazda,Traf z karabinu snajperskiego 100 ruchomych celów,Воодушевленный,Поразите из винтовки 100 движущихся целей.,Gung Ho,Derribe a 100 objetivos en movimiento con el rifle de francotirador.,勇往直前,狙击 100 个移动目标。,
ACHIEVEMENT_HEADSHOTS,Head Honcho,Get 100 sniped headshots,Prise de tête,Atteindre 100 cibles à la tête au fusil à lunette,Oberboss,Schaffe 100 Scharfschützenkopfschüsse.,Grande capo,Ottieni 100 uccisioni con colpi alla testa,ヘッド・スペシャリスト,狙撃によるヘッドショットを100回成功させる,Czapki z głów,"Traf 100 przeciwników w głowę, strzelając z karabinu snajperskiego",Большая шишка,Совершите 100 выстрелов в голову.,El Jefe,Consiga 100 disparos a la cabeza con el rifle de francotirador.,老大,狙击爆头 100 次。,
ACHIEVEMENT_COLLECTION,Jungle Juice,Find and snipe all the hidden bottles throughout the game,Gueule de bois,Localiser et toucher toutes les bouteilles cachées au fusil à lunette,Dschungel-Saft,Finde und schieße auf alle versteckten Flaschen im Spiel.,Succo di giungla,Trova e spara a tutte le bottiglie nascoste durante la partita,ボトル・スナイパー,ゲーム中の隠しボトルをすべて破壊する,Woda ognista,Odszukaj i traf z karabinu snajperskiego wszystkie butelki w grze,Бормотуха,Найдите и расстреляйте из винтовки все спрятанные в игре бутылки.,Jugo de jungla,Encuentre todas las botellas escondidas en el juego y rómpalas con el rifle de francotirador.,丛林果汁,找到并狙击游戏中所有隐藏的瓶子。,
ACHIEVEMENT_RICOCHET_KILL,Pass the Buck,Get a sniped ricochet headshot,Renvoyer la balle,Atteindre une cible à la tête par ricochet au fusil à lunette,Keine Verantwortung,Schaffe einen Querschläger-Kopfschuss.,Fuori responsabilità,Metti a segno un colpo alla testa con rimbalzo,曲芸師,狙撃の跳弾でヘッドショットを成功させる,Przekaż dalej,Traf w głowę rykoszetem,Перевод стрелок,После вашего прицельного выстрела пуля должна рикошетом попасть в голову врага.,Pásalo,Consiga un tiro a la cabeza de rebote con el rifle de francotirador.,甩锅,完成一次狙击跳弹爆头。,
